spotify_id	spotify_artist	title	artist	release_date
60cRh5MCFNOrFeQykKnDej	Pixies	Bossanova	The Pixies	1990
69Jzv3RB25sxZ7kmE1MeUL	Jonathan Thulin	The White Room	KLF	1990
6GJl4impgRmt2MY5CY5BbW	The Heavy	Dirt	Alice in Chains	1992
6JYmEWuML40SulUwHGxupV	Alkaline Trio	Trio	Emmylou Harris, Lisa Rondstadt, Dolly Parton	1987
6K6iycuUPM1HT5sxnwp6Ek	G. Love & Special Sauce	G Love & Special Sauce	G Love & Special Sauce	1994
6OlIbU9i7OaBrBqx7ZYAFS	Next	Next	The Sensational Alex Harvey Band	1973
6QDLJorX8HQ2ogxZUCvtd1	Various Artists	Logical Progression	LTJ Bukem	1996
6TLTd0P2CUI0Q29AQ1LyFi	Tom Petty And The Heartbreakers	Tom Petty & the Heartbreakers	Tom Petty & the Heartbreakers	1977
6TrlS4jRRt83HYjUKHcNMd	Mj Cole	Sincere	MJ Cole	2000
6UwY58EMdtAdf0eBO0Comj	Football Pepper	Sgt Pepper's Lonely Hearts Club Band	The Beatles	1967
6VNuZLF98tsRYgqlIXAVCD	Tori Amos	tori amos	The Adverts	1978
6XIpXPC8eGUGsBc7XFJ539	Ne-Yo	Gentleman	The Afghan Whigs	1993
6al4VUZHO90Zmw0fm4vVeI	Glee Cast	Volume 4	Black Sabbath	1972
6bR98XzGnklTORDvZ7Oc2i	Orchestral Manoeuvres In The Dark	Architecture & Morality	OMD	1983
6gMv3MgFlieOM6Uz5GZBzy	R.E.M.	Document	REM	1987
6ggO3YVhyonYuFWUPBRyIv	Sex Pistols	Never Mind The Bollocks…	The Sex Pistols	1977
6hPt04r4KtO00nwhdGJ8Ox	T. Rex	Electric Warrior	T Rex	1971
6mxbG8KrOTZIxlP4gzaliM	Iggy Pop	Raw Power	Iggy Pop & The Stooges	1973
6oUPqvUA22HDrLXDzRDaoO	Stan Getz,Luiz Bonfa	Jazz Samba	Stan Getz/Charlie Byrd	1962
6qnZYnfKaKYbyrCMVVJcCs	Der Nino aus Wien	I See A Darkness	Bonnie 'Prince' Billy	1998
6sYVlvyWjlwvVHKpvXxqdG	Sum 41	Infected	The The	1986
6vUWpE8qciYHOhf7mgaGny	Crosby, Stills & Nash	Crosby, Stills And Nash	Crosby, Stills And Nash	1969
6xFhjElnJUHCN3Jgg1av7y	Various Artists	No.1 Record	Big Star	1972
6ymZBbRSmzAvoSGmwAFoxm	Pixies	Doolittle	The Pixies	1989
76VDwh1H6aDqirqL4y1ABx	Back In Black	Back in Black	AC/DC	1980
79ZX48114T8NH36MnOTtl7	ABBA	Arrival	Abba	1976
7AFsTiojVaB2I58oZ1tMRg	RUN-DMC	Raising Hell	Run-DMC	1986
7AFsTiojVaB2I58oZ1tMRg	RUN-DMC	Run-DMC	Run-DMC	1984
7B4YTqHBVIiNv9o0hGVMbg	The Good Luck Joes	What's That Noise?	Coldcut	1989
7FiPNXyrCGGWFqO4btxPEe	Manic Street Preachers	The Holy Bible	The Manic Street Preachers	1994
7JOCOjZTcLysDMkZGWlcIj	The Script	3+3	The Isley Bros	1973
7LKQtdC6uWxqLzSbDonFij	Sigur Rós	Agaetis Byrjun	Sigur Ros	1999
7MmQ5eIQFianotdHpvut28	The Modern Ballroom Dance Band	The Modern Dance	Pere Ubu	1977
7MvSB0JTdtl1pSwZcgvYQX	Janelle Monáe	The ArchAndroid	Janelle Monae	2010
7cxEG6LAJowFK681Hg6QY6	Karaoke Universe	The Lamb Lies Down On Broadway	Genesis	1974
7dCxsZJ5g4VdGJmnh011Ig	Various Artists	Devotional Songs	Nusrat Fateh Ali Khan & Party	1992
7eLzF93T0FDx4hkuQ4juEj	Sisters Of Mercy	Floodland	Sisters of Mercy	1987
7g88LzruCHNbCmGyLjrpJH	RY X	Berlin	Lou Reed	1973
7m1r9h3wfPRm3Iv8uvq9vQ	Fugees	The Score	The Fugees	1996
7nXJ5k4XgRj5OLg9m8V3zc	Prince	Purple Rain	Prince and The Revolution	1984
7pr4eZjcBv6WQ1eeACmo8u	Nick Cave & The Bad Seeds	Abattoir Blues/The Lyre Of Orpheus	Nick Cave And The Bad Seeds	2004
7rSZXXHHvIhF4yUFdaOCy9	Jimi Hendrix	Are You Experienced?	The Jimi Hendrix Experience	1967
7rShDcOhzRIRNAowXWCxbA	Nick Cave & The Bad Seeds	Murder Ballads	Nick Cave & the Bad Seeds	1996
7uSgX0fbBol4NDyqsSZJaE	Billy Bragg,Wilco	Mermaid Avenue	Billy Bragg/Wilco	1998
7wvOewuyOTcqyE5Xog0dp8	Finley Quaye	Maverick A Strike	Finlay Quaye	1997
7ySlTeFwxaZHwzQElXg7hs	The Smashing Pumpkins	American Gothic	David Ackles	1972
